Date,Demand
Apr-00,20136
May-00,21074
Jun-00,21340
Jul-00,21479
Aug-00,21308
Sep-00,21077
Oct-00,21316
Nov-00,19840
Dec-00,19811
1-Jan,20848
1-Feb,20458
1-Mar,20034
1-Apr,19832
1-May,20874
1-Jun,21873
1-Jul,21559
1-Aug,22442
1-Sep,22589
1-Oct,21545
1-Nov,21733
1-Dec,21828
2-Jan,21452
2-Feb,21390
2-Mar,21481
2-Apr,20798
2-May,21758
2-Jun,22384
2-Jul,24092
2-Aug,24005
2-Sep,22755
2-Oct,22186
2-Nov,22047
2-Dec,21455
3-Jan,22040
3-Feb,21000
3-Mar,20622
3-Apr,21877
3-May,22203
3-Jun,24348
3-Jul,23427
3-Aug,23373
3-Sep,22807
3-Oct,23257
3-Nov,22715
3-Dec,23289
4-Jan,23690
4-Feb,23575
4-Mar,23754
4-Apr,23375
4-May,24627
4-Jun,26331
4-Jul,26808
4-Aug,25572
4-Sep,26169
4-Oct,24049
4-Nov,24421
4-Dec,25254
5-Jan,24997
5-Feb,23791
5-Mar,23703
5-Apr,25063
5-May,26060
5-Jun,28880
5-Jul,27661
5-Aug,29044
5-Sep,28807
5-Oct,27608
5-Nov,26806
5-Dec,26405
6-Jan,27095
6-Feb,26440
6-Mar,25746
6-Apr,27512
6-May,28756
6-Jun,30521
6-Jul,31516
6-Aug,31379
6-Sep,30576
6-Oct,30290
6-Nov,27947
6-Dec,28531
7-Jan,29173
7-Feb,28692
