Date,Close,MACD,sentiment,lg_senti
01-Apr-19,38871.87,631.8241929,0.285714286,0
02-Apr-19,39056.65,659.6403062,0.75,0.285714286
03-Apr-19,38877.12,660.3403206,0.583333333,0.75
04-Apr-19,38684.72,638.5681086,0.95,0.583333333
05-Apr-19,38862.23,628.8530098,0.175,0.95
08-Apr-19,38700.53,601.6342677,0.1,0.175
09-Apr-19,38939.22,592.8958922,0.65,0.1
10-Apr-19,38585.35,551.4531995,0.275,0.65
11-Apr-19,38607.01,514.6352923,-0.3,0.275
12-Apr-19,38767.11,492.9350662,0.525,-0.3
15-Apr-19,38905.84,481.7036192,0.95,0.525
16-Apr-19,39275.64,497.3512723,0.5,0.95
18-Apr-19,39140.28,493.6697538,0.625,0.5
22-Apr-19,38645.18,445.9679809,-0.283333333,0.625
23-Apr-19,38564.88,397.1530657,0,-0.283333333
24-Apr-19,39054.68,393.5787681,0.95,0
25-Apr-19,38730.86,360.7151087,0.266666667,0.95
26-Apr-19,39067.33,357.8664773,0.033333333,0.266666667
30-Apr-19,39031.55,348.9946362,0.525,0.033333333
02-May-19,38981.43,334.3074021,-0.65,0.525
03-May-19,38963.26,317.7333159,0.8,-0.65
06-May-19,38600.34,272.2617009,-0.25,0.8
07-May-19,38276.63,207.5608413,0.583333333,-0.25
08-May-19,37789.13,115.235423,0.266666667,0.583333333
09-May-19,37558.91,22.62460795,0.95,0.266666667
10-May-19,37462.99,-58.49539977,0.675,0.95
13-May-19,37090.82,-151.7801642,-0.075,0.675
14-May-19,37318.53,-205.7112787,-0.125,-0.075
15-May-19,37114.88,-262.4758563,0.8,-0.125
16-May-19,37393.48,-282.3042584,0.325,0.8
17-May-19,37930.77,-252.0312156,0.816666667,0.325
20-May-19,39352.67,-111.7020475,0.666666667,0.816666667
21-May-19,38969.8,-30.22856856,0.3125,0.666666667
22-May-19,39110.21,45.72641649,0.9,0.3125
23-May-19,38811.39,81.38310479,0.11875,0.9
24-May-19,39434.72,158.5815943,0.79,0.11875
27-May-19,39683.29,237.8274935,0.85,0.79
28-May-19,39749.73,303.2893882,0.85,0.85
29-May-19,39502.05,332.0380773,0.075,0.85
30-May-19,39831.97,377.6711163,1.15,0.075
31-May-19,39714.2,400.3568868,1.1,1.15
03-Jun-19,40267.62,458.3598412,-0.075,1.1
04-Jun-19,40083.54,484.6719982,0.4,-0.075
06-Jun-19,39529.72,456.0771024,-0.116666667,0.4
07-Jun-19,39615.9,435.5784277,0.125,-0.116666667
10-Jun-19,39784.52,428.2902518,1.4,0.125
11-Jun-19,39950.46,431.3071012,1.45,1.4
12-Jun-19,39756.81,413.671196,0.033333333,1.45
13-Jun-19,39741.36,394.1504654,0.625,0.033333333
14-Jun-19,39452.07,351.437548,-0.375,0.625
17-Jun-19,38960.79,274.6804925,0.7,-0.375
18-Jun-19,39046.34,217.963895,0,0.7
19-Jun-19,39112.74,176.1528038,0.95,0
20-Jun-19,39601.63,180.3627317,0.7375,0.95
21-Jun-19,39194.49,149.225671,-0.016666667,0.7375
24-Jun-19,39122.96,117.3225551,0.425,-0.016666667
25-Jun-19,39434.94,115.829655,-0.083333333,0.425
26-Jun-19,39592.08,126.0045062,0.883333333,-0.083333333
27-Jun-19,39586.41,132.2710787,0.6125,0.883333333
28-Jun-19,39394.64,120.494358,0.45,0.6125
01-Jul-19,39686.5,133.2684695,1.25,0.45
02-Jul-19,39816.48,152.3654857,0.7,1.25
03-Jul-19,39839.25,167.6834394,0.375,0.7
04-Jul-19,39908.06,183.5364057,0.675,0.375
05-Jul-19,39513.39,162.5674433,0.41,0.675
08-Jul-19,38720.57,80.85892035,0.175,0.41
09-Jul-19,38730.82,16.2393143,0.033333333,0.175
10-Jul-19,38557.04,-48.91539708,-1.033333333,0.033333333
11-Jul-19,38823.11,-78.62098475,0.975,-1.033333333
12-Jul-19,38736.23,-108.2281315,-0.025,0.975
15-Jul-19,38896.71,-117.6577856,0.75,-0.025
16-Jul-19,39131.04,-105.1301204,1.125,0.75
17-Jul-19,39215.64,-87.35513479,1.35,1.125
18-Jul-19,38897.46,-97.84117977,0,1.35
19-Jul-19,38337.01,-149.9390659,0.3,0
22-Jul-19,38031.13,-214.0184848,-0.216666667,0.3
23-Jul-19,37982.74,-266.2972712,0.4,-0.216666667
24-Jul-19,37847.65,-315.6347306,0.3,0.4
25-Jul-19,37830.98,-352.6554276,0.65,0.3
26-Jul-19,37882.79,-374.0726065,0.25,0.65
29-Jul-19,37686.37,-402.7887241,0,0.25
30-Jul-19,37397.24,-444.3899335,0.925,0
31-Jul-19,37481.12,-465.8991952,0.775,0.925
01-Aug-19,37018.32,-515.034325,-0.2,0.775
02-Aug-19,37118.22,-540.4757847,-0.166666667,-0.2
05-Aug-19,36699.84,-588.3826629,-0.725,-0.166666667
06-Aug-19,36976.85,-597.9142321,-0.175,-0.725
07-Aug-19,36690.5,-622.0788381,0.625,-0.175
08-Aug-19,37327.36,-583.7003314,1.083333333,0.625
09-Aug-19,37581.91,-526.8692684,1.025,1.083333333
13-Aug-19,36958.16,-526.3121857,0.216666667,1.025
14-Aug-19,37311.53,-492.0759339,0.033333333,0.216666667
16-Aug-19,37350.33,-456.7413796,-0.125,0.033333333
19-Aug-19,37402.49,-419.8408299,0.416666667,-0.125
20-Aug-19,37328.01,-392.2210166,0.925,0.416666667
21-Aug-19,37060.37,-387.6804336,-0.5,0.925
22-Aug-19,36472.93,-427.0156581,0.7,-0.5
23-Aug-19,36701.16,-435.3680887,0.95,0.7
26-Aug-19,37494.12,-373.9625202,0.766666667,0.95
27-Aug-19,37641.27,-309.7228118,0.375,0.766666667
28-Aug-19,37451.84,-270.8436328,-0.1,0.375
29-Aug-19,37068.93,-267.8985836,0.9,-0.1
30-Aug-19,37332.79,-241.6487871,1.2,0.9
03-Sep-19,36562.91,-279.9514107,-0.41,1.2
04-Sep-19,36724.74,-294.3437449,-0.083333333,-0.41
05-Sep-19,36644.42,-309.0558757,0.625,-0.083333333
06-Sep-19,36981.77,-290.4527284,1,0.625
09-Sep-19,37145.45,-259.6027869,1,1
11-Sep-19,37270.82,-222.4604788,1.175,1
12-Sep-19,37104.28,-204.0868492,1.025,1.175
13-Sep-19,37384.99,-164.9627832,0.375,1.025
16-Sep-19,37123.31,-153.2374997,-0.625,0.375
17-Sep-19,36481.09,-193.7372694,0.5,-0.625
18-Sep-19,36563.88,-217.094896,1.05,0.5
19-Sep-19,36093.47,-270.9124034,0.683333333,1.05
